scenarioId	operationId	method	path	status	cause	feature	scenario
REF07_AddCompany_01	AddCompany	POST	/customers/{customerId:guid}/companies	409	Add duplicate company tax id to existing customer returns conflict response	Customers/AddCompanyConflictError/AddCompanyConflictError.feature	Add duplicate company tax id to existing customer returns conflict response
REF07_AddCompany_02	AddCompany	POST	/customers/{customerId:guid}/companies	400	Add company to existing customer with missing company name returns deserialization error	Customers/AddCompanyMissingFieldsError/AddCompanyMissingFieldsError.feature	Add company to existing customer with missing company name returns deserialization error
REF07_AddCompany_03	AddCompany	POST	/customers/{customerId:guid}/companies	404	Add company by missing customer id returns not found response	Customers/AddCompanyNotFound/AddCompanyNotFound.feature	Add company by missing customer id returns not found response
REF07_AddCompany_04	AddCompany	POST	/customers/{customerId:guid}/companies	200	Add company to customer returns updated customer data	Customers/AddCompanySuccess/AddCompanySuccess.feature	Add company to customer returns updated customer data
REF07_AddCompany_05	AddCompany	POST	/customers/{customerId:guid}/companies	400	Add company with invalid tax id returns bad request	Customers/AddCompanyValidationError/AddCompanyValidationError.feature	Add company with invalid tax id returns bad request
REF07_CreateCustomer_01	CreateCustomer	POST	/customers	409	Create duplicate individual customer profile returns conflict response	Customers/CreateCustomerConflictError/CreateCustomerConflictError.feature	Create duplicate individual customer profile returns conflict response
REF07_CreateCustomer_02	CreateCustomer	POST	/customers	409	Create customer with duplicate company tax ids returns conflict response	Customers/CreateCustomerDuplicateCompaniesConflictError/CreateCustomerDuplicateCompaniesConflictError.feature	Create customer with duplicate company tax ids returns conflict response
REF07_CreateCustomer_03	CreateCustomer	POST	/customers	400	Create customer profile with missing individual email and phone returns deserialization error	Customers/CreateCustomerMissingFieldsError/CreateCustomerMissingFieldsError.feature	Create customer profile with missing individual email and phone returns deserialization error
REF07_CreateCustomer_04	CreateCustomer	POST	/customers	200	Create customer profile returns created individual and company data	Customers/CreateCustomerSuccess/CreateCustomerSuccess.feature	Create customer profile returns created individual and company data
REF07_CreateCustomer_05	CreateCustomer	POST	/customers	400	Create individual customer profile with invalid billing address returns bad request	Customers/CreateCustomerValidationError/CreateCustomerValidationError.feature	Create individual customer profile with invalid billing address returns bad request
REF07_GetCustomerByExternalId_01	GetCustomerByExternalId	GET	/customers/external/{externalId}	404	Get customer profile by missing external id returns not found response	Customers/GetCustomerNotFound/GetCustomerNotFound.feature	Get customer profile by missing external id returns not found response
REF07_GetCustomerByExternalId_02	GetCustomerByExternalId	GET	/customers/external/{externalId}	200	Get customer profile by external id returns existing customer data	Customers/GetCustomerSuccess/GetCustomerSuccess.feature	Get customer profile by external id returns existing customer data
REF07_GetCustomerByExternalId_03	GetCustomerByExternalId	GET	/customers/external/{externalId}	400	Get customer profile with empty guid external id returns bad request	Customers/GetCustomerValidationError/GetCustomerValidationError.feature	Get customer profile with empty guid external id returns bad request
REF07_UpdateCompany_01	UpdateCompany	PUT	/customers/{customerId:guid}/companies/{companyId:guid}	409	Update company tax id to another existing company tax id returns conflict response	Customers/UpdateCompanyConflictError/UpdateCompanyConflictError.feature	Update company tax id to another existing company tax id returns conflict response
REF07_UpdateCompany_02	UpdateCompany	PUT	/customers/{customerId:guid}/companies/{companyId:guid}	400	Update customer company data with missing company name and shipping address returns deserialization error	Customers/UpdateCompanyMissingFieldsError/UpdateCompanyMissingFieldsError.feature	Update customer company data with missing company name and shipping address returns deserialization error
REF07_UpdateCompany_03	UpdateCompany	PUT	/customers/{customerId:guid}/companies/{companyId:guid}	404	Update missing company for existing customer returns not found response	Customers/UpdateCompanyNotFound/UpdateCompanyNotFound.feature	Update missing company for existing customer returns not found response
REF07_UpdateCompany_04	UpdateCompany	PUT	/customers/{customerId:guid}/companies/{companyId:guid}	200	Update customer company returns updated customer data	Customers/UpdateCompanySuccess/UpdateCompanySuccess.feature	Update customer company returns updated customer data
REF07_UpdateCompany_05	UpdateCompany	PUT	/customers/{customerId:guid}/companies/{companyId:guid}	400	Update existing customer company data with invalid tax id and company name returns bad request	Customers/UpdateCompanyValidationError/UpdateCompanyValidationError.feature	Update existing customer company data with invalid tax id and company name returns bad request
REF07_UpdateIndividualData_01	UpdateIndividualData	PUT	/customers/{id:guid}/individual	400	Update customer individual data with missing individual email and phone returns deserialization error	Customers/UpdateIndividualMissingFieldsError/UpdateIndividualMissingFieldsError.feature	Update customer individual data with missing individual email and phone returns deserialization error
REF07_UpdateIndividualData_02	UpdateIndividualData	PUT	/customers/{id:guid}/individual	404	Update individual data by missing customer id returns not found response	Customers/UpdateIndividualNotFound/UpdateIndividualNotFound.feature	Update individual data by missing customer id returns not found response
REF07_UpdateIndividualData_03	UpdateIndividualData	PUT	/customers/{id:guid}/individual	200	Update customer individual data returns updated customer profile	Customers/UpdateIndividualSuccess/UpdateIndividualSuccess.feature	Update customer individual data returns updated customer profile
REF07_UpdateIndividualData_04	UpdateIndividualData	PUT	/customers/{id:guid}/individual	400	Update existing customer individual data with invalid contact values returns bad request	Customers/UpdateIndividualValidationError/UpdateIndividualValidationError.feature	Update existing customer individual data with invalid contact values returns bad request
REF07_CreateAdmin_01	CreateAdmin	POST	/admins	409	Create duplicate admin profile returns conflict response	Admins/CreateAdminConflictError/CreateAdminConflictError.feature	Create duplicate admin profile returns conflict response
REF07_CreateAdmin_02	CreateAdmin	POST	/admins	400	Create admin profile with missing external id returns deserialization error	Admins/CreateAdminMissingFieldsError/CreateAdminMissingFieldsError.feature	Create admin profile with missing external id returns deserialization error
REF07_CreateAdmin_03	CreateAdmin	POST	/admins	200	Create admin profile returns created admin data	Admins/CreateAdminSuccess/CreateAdminSuccess.feature	Create admin profile returns created admin data
REF07_CreateAdmin_04	CreateAdmin	POST	/admins	400	Create admin profile with invalid email returns bad request	Admins/CreateAdminValidationError/CreateAdminValidationError.feature	Create admin profile with invalid email returns bad request
REF07_GetAdminByExternalId_01	GetAdminByExternalId	GET	/admins/external/{externalId}	404	Get admin profile by missing external id returns not found response	Admins/GetAdminNotFound/GetAdminNotFound.feature	Get admin profile by missing external id returns not found response
REF07_GetAdminByExternalId_02	GetAdminByExternalId	GET	/admins/external/{externalId}	200	Get admin profile by external id returns existing admin data	Admins/GetAdminSuccess/GetAdminSuccess.feature	Get admin profile by external id returns existing admin data
REF07_GetAdminByExternalId_03	GetAdminByExternalId	GET	/admins/external/{externalId}	400	Get admin profile with blank external id returns bad request	Admins/GetAdminValidationError/GetAdminValidationError.feature	Get admin profile with blank external id returns bad request
REF07_UpdateAdminProfile_01	UpdateAdminProfile	PUT	/admins/{adminId:guid}	400	Update admin profile with missing full name returns deserialization error	Admins/UpdateAdminMissingFieldsError/UpdateAdminMissingFieldsError.feature	Update admin profile with missing full name returns deserialization error
REF07_UpdateAdminProfile_02	UpdateAdminProfile	PUT	/admins/{adminId:guid}	404	Update admin profile by missing admin id returns not found response	Admins/UpdateAdminNotFound/UpdateAdminNotFound.feature	Update admin profile by missing admin id returns not found response
REF07_UpdateAdminProfile_03	UpdateAdminProfile	PUT	/admins/{adminId:guid}	200	Update admin profile returns updated admin data	Admins/UpdateAdminSuccess/UpdateAdminSuccess.feature	Update admin profile returns updated admin data
REF07_UpdateAdminProfile_04	UpdateAdminProfile	PUT	/admins/{adminId:guid}	400	Update admin profile with invalid email returns bad request	Admins/UpdateAdminValidationError/UpdateAdminValidationError.feature	Update admin profile with invalid email returns bad request
REF07_AddProductToFavorites_01	AddProductToFavorites	POST	/favorites/clients/{clientId:guid}	200	Add a product to favorites	Favorites/FavoritesEndpoints.feature	Add a product to favorites
REF07_AddProductToFavorites_02	AddProductToFavorites	POST	/favorites/clients/{clientId:guid}	400	Add a favorite with invalid identifiers	Favorites/FavoritesEndpoints.feature	Add a favorite with invalid identifiers
REF07_AddProductToFavorites_03	AddProductToFavorites	POST	/favorites/clients/{clientId:guid}	400	Add a favorite without the required product identifier	Favorites/FavoritesEndpoints.feature	Add a favorite without the required product identifier
REF07_AddProductToFavorites_04	AddProductToFavorites	POST	/favorites/clients/{clientId:guid}	409	Add the same product twice	Favorites/FavoritesEndpoints.feature	Add the same product twice
REF08_AddProductToFavorites_race	AddProductToFavorites	POST	/favorites/clients/{clientId:guid}	409	pair inserted between existence check and save	Favorites/FavoritesEndpoints.feature	Add a favorite inserted by another request after the existence check
REF07_GetFavoritesByClientId_01	GetFavoritesByClientId	GET	/favorites/clients/{clientId:guid}	200	Get a client's favorites	Favorites/FavoritesEndpoints.feature	Get a client's favorites
REF07_GetFavoritesByClientId_02	GetFavoritesByClientId	GET	/favorites/clients/{clientId:guid}	400	Get favorites with an empty client identifier	Favorites/FavoritesEndpoints.feature	Get favorites with an empty client identifier
REF07_RemoveProductFromFavorites_01	RemoveProductFromFavorites	DELETE	/favorites/clients/{clientId:guid}/products/{productId:guid}	204	Remove a product from favorites	Favorites/FavoritesEndpoints.feature	Remove a product from favorites
REF07_RemoveProductFromFavorites_02	RemoveProductFromFavorites	DELETE	/favorites/clients/{clientId:guid}/products/{productId:guid}	400	Remove a favorite with empty identifiers	Favorites/FavoritesEndpoints.feature	Remove a favorite with empty identifiers
REF07_RemoveProductFromFavorites_03	RemoveProductFromFavorites	DELETE	/favorites/clients/{clientId:guid}/products/{productId:guid}	404	Remove a favorite that does not exist	Favorites/FavoritesEndpoints.feature	Remove a favorite that does not exist
REF08_RemoveProductFromFavorites_race	RemoveProductFromFavorites	DELETE	/favorites/clients/{clientId:guid}/products/{productId:guid}	404	pair removed between read and delete	Favorites/FavoritesEndpoints.feature	Remove a favorite deleted by another request after loading it
REF07_ClearClientFavorites_01	ClearClientFavorites	DELETE	/favorites/clients/{clientId:guid}	204	Clear all favorites for a client	Favorites/FavoritesEndpoints.feature	Clear all favorites for a client
